"FrameID"	"Accession1"	"Accession2"
GDQC-10970	"Zm00001d002940_T001.1"	
GDQC-7979	"Zm00001d002943_T001.1"	
GDQC-10824	"Zm00001d002944_T001.1"	
GDQC-14501	"Zm00001d002965_T001.1"	
GDQC-10505	"Zm00001d002967_T005.1"	
GDQC-8572	"Zm00001d002970_T001.1"	
GDQC-12569	"Zm00001d002984_T001.1"	
GDQC-7893	"Zm00001d002989_T001.1"	
GDQC-9638	"Zm00001d002996_T001.1"	
GDQC-14351	"Zm00001d002997_T001.1"	
GDQC-14257	"Zm00001d002999_T001.1"	
GDQC-14308	"Zm00001d003002_T001.1"	
GDQC-9175	"Zm00001d003013_T001.1"	
GDQC-14575	"Zm00001d003015_T001.1"	
GDQC-11489	"Zm00001d003016_T001.1"	
GDQC-9633	"Zm00001d003017_T002.1"	
GDQC-14865	"Zm00001d003044_T001.1"	
GDQC-14828	"Zm00001d003045_T001.1"	
GDQC-13361	"Zm00001d003046_T001.1"	
GDQC-10744	"Zm00001d003051_T001.1"	
GDQC-10077	"Zm00001d003053_T001.1"	
GDQC-11755	"Zm00001d003058_T001.1"	
GDQC-10537	"Zm00001d003059_T005.1"	
GDQC-10750	"Zm00001d003081_T003.1"	
GDQC-12555	"Zm00001d003083_T002.1"	
GDQC-10932	"Zm00001d003085_T001.1"	
GDQC-11837	"Zm00001d003086_T001.1"	
GDQC-9044	"Zm00001d003090_T001.1"	
GDQC-9129	"Zm00001d003091_T001.1"	
GDQC-7695	"Zm00001d003102_T001.1"	
GDQC-10065	"Zm00001d003108_T007.1"	
GDQC-14668	"Zm00001d003109_T002.1"	
GDQC-8489	"Zm00001d003115_T001.1"	
GDQC-15073	"Zm00001d003124_T001.1"	
GDQC-8269	"Zm00001d003129_T001.1"	
GDQC-10698	"Zm00001d003140_T001.1"	
GDQC-11894	"Zm00001d003142_T001.1"	
GDQC-9913	"Zm00001d003144_T001.1"	
GDQC-12955	"Zm00001d003145_T001.1"	
GDQC-11724	"Zm00001d003157_T002.1"	
GDQC-8125	"Zm00001d003164_T001.1"	
GDQC-11428	"Zm00001d003169_T001.1"	
GDQC-11136	"Zm00001d003173_T001.1"	
GDQC-7743	"Zm00001d003174_T001.1"	
GDQC-9122	"Zm00001d003188_T001.1"	
GDQC-13014	"Zm00001d003190_T001.1"	
GDQC-12643	"Zm00001d003191_T001.1"	
GDQC-8023	"Zm00001d003214_T002.1"	
GDQC-9167	"Zm00001d003247_T002.1"	
GDQC-11004	"Zm00001d003252_T006.1"	
GDQC-13420	"Zm00001d003276_T001.1"	
GDQC-10242	"Zm00001d003277_T001.1"	
GDQC-8753	"Zm00001d003279_T001.1"	
GDQC-11551	"Zm00001d003280_T002.1"	
GDQC-8293	"Zm00001d003281_T001.1"	
GDQC-12925	"Zm00001d003283_T001.1"	
GDQC-10272	"Zm00001d003309_T002.1"	
GDQC-11036	"Zm00001d003310_T001.1"	
GDQC-12837	"Zm00001d003311_T001.1"	
GDQC-14898	"Zm00001d003312_T001.1"	
GDQC-8668	"Zm00001d003316_T001.1"	
GDQC-13326	"Zm00001d003319_T001.1"	
GDQC-14740	"Zm00001d003349_T001.1"	
GDQC-9836	"Zm00001d003354_T002.1"	
GDQC-15098	"Zm00001d003373_T002.1"	
GDQC-9118	"Zm00001d003381_T001.1"	
GDQC-8076	"Zm00001d003390_T001.1"	
GDQC-10820	"Zm00001d003395_T001.1"	
GDQC-10491	"Zm00001d003400_T001.1"	
GDQC-12855	"Zm00001d003415_T001.1"	
GDQC-10066	"Zm00001d003423_T002.1"	
GDQC-15138	"Zm00001d003426_T002.1"	
GDQC-9182	"Zm00001d003429_T001.1"	
GDQC-15005	"Zm00001d003430_T001.1"	
GDQC-9030	"Zm00001d003431_T009.1"	
GDQC-7849	"Zm00001d003432_T001.1"	
GDQC-13578	"Zm00001d003434_T002.1"	
GDQC-12048	"Zm00001d003436_T001.1"	
GDQC-13837	"Zm00001d003446_T002.1"	
GDQC-13708	"Zm00001d003448_T002.1"	
GDQC-12985	"Zm00001d003462_T001.1"	
GDQC-13858	"Zm00001d003483_T001.1"	
GDQC-11948	"Zm00001d003488_T001.1"	
GDQC-9324	"Zm00001d003490_T001.1"	
GDQC-10928	"Zm00001d003496_T001.1"	
GDQC-11433	"Zm00001d003504_T002.1"	
GDQC-10020	"Zm00001d003510_T001.1"	
GDQC-8795	"Zm00001d003522_T002.1"	
GDQC-10417	"Zm00001d003524_T001.1"	
GDQC-8562	"Zm00001d003525_T008.1"	
GDQC-12847	"Zm00001d003530_T001.1"	
GDQC-12423	"Zm00001d003531_T002.1"	
GDQC-104907	"Zm00001d003533_T001.1"	"GRMZM2G104843_T01"
GDQC-10222	"Zm00001d003551_T001.1"	
GDQC-11268	"Zm00001d003559_T001.1"	
GDQC-10295	"Zm00001d003563_T001.1"	
GDQC-14485	"Zm00001d003581_T001.1"	
GDQC-8609	"Zm00001d003584_T001.1"	
GDQC-8594	"Zm00001d003617_T001.1"	
GDQC-12073	"Zm00001d003630_T001.1"	
GDQC-9134	"Zm00001d003637_T001.1"	
GDQC-14252	"Zm00001d003638_T001.1"	
GDQC-11280	"Zm00001d003640_T003.1"	
GDQC-12860	"Zm00001d003643_T003.1"	
GDQC-14719	"Zm00001d003646_T002.1"	
GDQC-9342	"Zm00001d003658_T001.1"	
GDQC-9019	"Zm00001d003674_T001.1"	
GDQC-12263	"Zm00001d003675_T001.1"	
GDQC-14037	"Zm00001d003676_T001.1"	
GDQC-12928	"Zm00001d003690_T001.1"	
GDQC-8705	"Zm00001d003702_T001.1"	
GDQC-12977	"Zm00001d003703_T001.1"	
GDQC-12163	"Zm00001d003707_T002.1"	
